Number,How old are you?,Gender,Which country are you living in?,Do you regard yourself as an engineer?,What is your study/working field?,What is your current employment status?,What industry are you working in?,What university do you study at?,How many days per week did you do remote working *BEFORE* COVID-19 on average?,How many days per week did you do remote working *AFTER* COVID-19 on average?,"What is the biggest *advantage* of Remote Working for you? 

Choose one:","What is the biggest *disadvantage* of Remote Working for you? 

Choose one:","*Rank the importance of the following working conditions/offers for you.*

Select your number 1 choice_ (1/3):_",Your number 2 choice _(2/3)_:,"Finally, your number 3 choice _(3/3)_:","Where do you feel more productive (home, office or a hybrid version) ?
",Submitted At,Token
17,26,Male,Germany,TRUE,Automotive Engineering,Unemployed,,,4,N/A,Work-life-balance,No separation between work and home life,Possibility of remote working,Working Environment,Flexible working time models,Office,9/9/20 10:15,6ted0qj4qp96i2oi6ted1s1bcyo768v0
18,25,Male,Germany,FALSE,,Employed,Mechanical Engineering,,0,0,Flexible working hours,Lack of human interaction,Impact,Flexible working time models,Reputation,Office,9/9/20 10:16,lss78dsl6r7t66ylss1ouean3p6j9tdi
19,24,Male,Germany,TRUE,Industrial Engineering,Student,,Hochschule Mannheim,1,4,Work-life-balance,Lack of human interaction,Working Environment,Amount of salary,Flexible working time models,Home,9/9/20 10:17,2wso672mo0tla2ls2wsqjioxk64xczy1
20,23,Male,Germany,TRUE,Automotive Engineering,Employed,Automotive,,1,2,Positive environmental impact,Lack of human interaction,Amount of salary,Impact,Working Environment,Both,9/9/20 10:18,geam23yq0fdl4ktvsgeam9q04sqzvz30
21,23,Male,Germany,TRUE,Other,Employed,Railway,,1,5,Less money and time spent on traveling,Lack of human interaction,Flexible working time models,Amount of salary,Working Environment,Both,9/9/20 10:21,omp6ij2m6iuyreseold74omp6vdd63nv
22,24,Male,Germany,TRUE,Industrial Engineering,Employed,Automotive,,0,2,Less money and time spent on traveling,Lack of human interaction,Amount of salary,Working Environment,Flexible working time models,Office,9/9/20 10:27,hu2yj6qf9ttrsi1642vhu2yfeva8olu3
23,23,Female,Germany,FALSE,,Employed,"Education, Science",,1,5,Less money and time spent on traveling,Lack of human interaction,Working Environment,Amount of salary,Impact,Office,9/9/20 10:26,pcztvqxjv11escel2cpcztvqxgjpl8ly
24,23,Male,Germany,TRUE,Automotive Engineering,Employed,Automotive,,0,0,Positive environmental impact,Lack of human interaction,Flexible working time models,Working Environment,Amount of salary,Office,9/9/20 10:26,l464ctalxa3z1jpx3mhvml464cta4cta
25,20,Male,Romania,FALSE,,Employed,Film an Animation,,5,7,Comfortable working environment,Lack of human interaction,Flexible working time models,Working Environment,Possibility of remote working,Office,9/9/20 10:32,b15s4b7e67gkbmjgub15s4b7hf5lmjjf
26,25,Male,Germany,TRUE,Mechanical Engineering,Student,,Tu Darmstadt,0,1,Comfortable working environment,Lack of human interaction,Working Environment,Impact,Amount of salary,Office,9/9/20 10:35,9yzbymzdxb8z6bohql99yzbh3l7iysww
27,21,Male,Romania,TRUE,Mechanical Engineering,Student,,Politehnica University of Timisoara,N/A,N/A,Work-life-balance,Lack of human interaction,Possibility of remote working,Working Environment,Amount of salary,Both,9/9/20 10:47,2yxtbaef438wg5sv47ptvpr2yxtb08wk
28,20,Male,Romania,TRUE,Computer Science,Student,,Universitatea Politehnica Timisoara,N/A,N/A,Comfortable working environment,Lack of human interaction,Working Environment,Impact,Amount of salary,Office,9/9/20 10:38,wy242cdxgaav656746wy242ab141jqyh
29,24,Female,Germany,TRUE,Chemical Engineering,Employed,Chemicals,,0,5,Work-life-balance,Older colleagues’ lack of trust,Impact,Working Environment,Possibility of remote working,Home,9/9/20 10:47,9cz7pn9d0ja8ues69cvdd8r39cse7p9c
30,24,Female,Germany,FALSE,,Employed,Automotive,,0,5,Flexible working hours,No separation between work and home life,Working Environment,Amount of salary,Flexible working time models,Both,9/9/20 10:47,htdzodjhp4nsyrea2f9abhtdzodkn698
31,26,Male,Germany,TRUE,Automotive Engineering,Employed,Campervan,,0,0,Positive environmental impact,Lack of human interaction,Working Environment,Flexible working time models,Amount of salary,Office,9/9/20 10:54,ag3rudr631gq5eag3ru7tm175mb9q319
32,23,Male,Germany,TRUE,Automotive Engineering,Employed,Automotive,,1,4,Flexible working hours,No separation between work and home life,Impact,Working Environment,Amount of salary,Office,9/9/20 11:02,9agjnvqxjis2nsft4p29agjaxsf0nywe
33,29,Male,Belgium,TRUE,Energy Engineering,Employed,Renewables,,3,5,Less money and time spent on traveling,No separation between work and home life,Impact,Working Environment,Amount of salary,Both,9/9/20 11:08,1luio3tl93fc5r2kn0sjd1luio3n1oqc
34,24,Male,Netherlands,TRUE,Civil Engineering,Employed,Energie,,0,2,Less money and time spent on traveling,Lack of human interaction,Amount of salary,Working Environment,Possibility of remote working,Both,9/9/20 11:14,4bi332jsuyxntpuzh7v4bi33r53nl364
35,28,Female,Denmark,TRUE,Chemical Engineering,Student,,Technical University of Denmark,0,7,No advantage,No separation between work and home life,Working Environment,Flexible working time models,Impact,Office,9/9/20 11:15,e7dpkk4rgtooccene7iysfwoyzjygi03
36,24,Female,United Kingdom,TRUE,Civil Engineering,Employed,Civil engineering,,1,7,Flexible working hours,No separation between work and home life,Amount of salary,Reputation,Impact,Office,9/9/20 11:34,btz9j22ykm60df2uoz2pdibtz9jj43wc
37,33,Male,United Kingdom,TRUE,Telecommunications Engineering,Employed,Transportation,,0,5,Less money and time spent on traveling,Lack of human interaction,Working Environment,Amount of salary,Impact,Both,9/9/20 11:41,5api1peoa05avdltcanci5apisqoyb3k
38,23,Male,Malta,TRUE,Energy Engineering,Employed,Research,,0,0,Flexible working hours,No separation between work and home life,Impact,Amount of salary,Flexible working time models,Office,9/9/20 11:55,p2knfrrdgvbdh3awm2spm1yp2knfrri9
39,25,Male,Estonia,TRUE,Civil Engineering,Employed,Structural design,,0,0,Comfortable working environment,No separation between work and home life,Working Environment,Flexible working time models,Amount of salary,Office,9/9/20 12:12,qchxz556ec7zbmlhh50qchxz0f9w2rkm
40,25,Male,Estonia,TRUE,Environmental Engineering,Employed,HVAC engineer,,0,0,Less money and time spent on traveling,Lack of human interaction,Amount of salary,Flexible working time models,Amount of salary,Both,9/9/20 12:18,2ig4eylr7qpj0lyfrl72ig4ey132budk
41,21,Female,Estonia,TRUE,Civil Engineering,Student,,Taltech,N/A,N/A,Flexible working hours,Lack of human interaction,Flexible working time models,Working Environment,"Additional services (Kindergarten, dogs at work)",Both,9/9/20 12:17,wtxpu7xf7equolr2m4pwtxpu7aqhvaqh
42,21,Female,Estonia,TRUE,Civil Engineering,Unemployed,,,N/A,N/A,Flexible working hours,Interruption at home,Amount of salary,Working Environment,Flexible working time models,Office,9/9/20 12:22,v6psevnlfevnlkxfv6psesqxrx0hsymh
43,21,Male,Estonia,TRUE,Electrical Engineering,Trainee/student,,,0,1,Flexible working hours,Bad technical conditions,Flexible working time models,Amount of salary,Possibility of remote working,Both,9/9/20 12:21,rzohgnimmwtsum05jdxujrzohgnikw31
44,25,Male,Estonia,TRUE,Environmental Engineering,Employed,Consultation,,1,2,Less money and time spent on traveling,No separation between work and home life,Impact,Amount of salary,Flexible working time models,Both,9/9/20 12:21,kc13jmzs1gkc135xdniqp79n6aqmfeoo
45,23,Male,Germany,TRUE,Software Engineering,Employed,Automobile Industry,,0,4,Flexible working hours,No separation between work and home life,Flexible working time models,Impact,Possibility of remote working,Home,9/9/20 12:24,n0fdnb65hufm5remw8un0fdyz5245juj
46,26,Male,Germany,TRUE,Industrial Engineering,Student,,TU Darmstadt,N/A,N/A,Work-life-balance,Lack of human interaction,Flexible working time models,Impact,Flexible working time models,Both,9/9/20 12:23,dwll95lhibhpwhnjs1dwllpe8vma6cvo
47,19,Male,Estonia,TRUE,Architectural Engineering,Student,,taltech,N/A,N/A,Flexible working hours,No separation between work and home life,Flexible working time models,Amount of salary,"Additional services (Kindergarten, dogs at work)",Office,9/9/20 12:32,db3ypipidbdbgs01a1vqdb3yprm3x12b
48,20,Female,Estonia,TRUE,Civil Engineering,Student,,Taltech,5,5,Work-life-balance,Time zone difference,Amount of salary,Flexible working time models,"Additional services (Kindergarten, dogs at work)",Both,9/9/20 12:28,n4ukmoi6cxe622qpcgbn4ukmoi6de8ry
49,22,Male,Estonia,TRUE,Industrial Engineering,Self-employed,,,7,7,Flexible working hours,No separation between work and home life,Impact,Flexible working time models,Flexible working time models,Office,9/9/20 12:34,9xd3rdwf0tpww5bnhnlhka9xd3rdw8ki
50,28,Male,Germany,TRUE,Computer Science,Employed,Pharma,,0,3,Less money and time spent on traveling,Lack of human interaction,Impact,Amount of salary,Working Environment,Both,9/9/20 12:41,tng5tbq4xz53a8yfttm6olttng5tbqpu
51,21,Female,Romania,TRUE,Computer Science,Employed,Continental Automotive,,,4,Flexible working hours,Bad technical conditions,Amount of salary,Working Environment,Flexible working time models,Both,9/9/20 12:53,093s60oqq5bu7ole093s60db5nwxa5bh
52,19,Female,Other,FALSE,,Student,,Western Kentucky University,0,3,Less money and time spent on traveling,Lack of human interaction,Working Environment,Amount of salary,Impact,Both,9/9/20 12:53,02fhl8otmwdrujp802fhl6skowhe1q82
53,23,Female,Germany,TRUE,Chemical Engineering,Employed,Energy,,0,0,Less money and time spent on traveling,No separation between work and home life,Working Environment,Flexible working time models,Amount of salary,Both,9/9/20 12:54,nh8u0bxsm99l7580nh8u05uqb7f56f7w
54,23,Female,Germany,TRUE,Chemical Engineering,Student,,Technical University of Munich (TUM),0,5,Positive environmental impact,No separation between work and home life,Working Environment,Flexible working time models,Reputation,Office,9/9/20 12:55,0s97ylleawrsj0snv80s97yn2vtdqp38
55,24,Male,Romania,TRUE,Information and Technology,Student,,Polytechnic University Timisoara,N/A,N/A,Unemployed,Unemployed,Amount of salary,Flexible working time models,Possibility of remote working,Both,9/9/20 12:57,oqt6wm6tpzmqikoqt6wm6lpcx0fzd969
56,32,Male,Other,TRUE,Civil Engineering,Employed,Construction,,N/A,N/A,Positive environmental impact,Lack of human interaction,Reputation,Amount of salary,Flexible working time models,Office,9/9/20 12:58,vptakxre39vab5jvptaeruwijctjscpf
57,24,Male,Romania,TRUE,Software Engineering,Employed,DevOps,,1,5,Less money and time spent on traveling,Lack of human interaction,Impact,Amount of salary,Reputation,Both,9/9/20 12:57,xzl4g2nuh4z1wuhxzl4g21jch4s1eukx
58,25,Male,Romania,FALSE,,Employed,Quality and Logistics,,1,5,Flexible working hours,Lack of human interaction,Flexible working time models,Possibility of remote working,Amount of salary,Both,9/9/20 12:57,ueydjd1n1iukk1lkd4ayaxw4kk18unq4
59,27,Female,Germany,TRUE,Industrial Engineering,Unemployed,,,1,5,Work-life-balance,Lack of human interaction,Impact,Possibility of remote working,Working Environment,Both,9/9/20 13:00,795fz2tqr6n6z4i82c4g795fz2tf0je8
60,22,Male,Germany,TRUE,Chemical Engineering,Student,,TUM,N/A,N/A,Work-life-balance,Lack of human interaction,Flexible working time models,Amount of salary,Working Environment,Office,9/9/20 12:59,wxij49i3farh5j5wxij0hymuzlu19fco
61,22,Female,Estonia,TRUE,Civil Engineering,Employed,Infrastructure construction,,0,0,Flexible working hours,No separation between work and home life,Working Environment,Amount of salary,Impact,Office,9/9/20 13:04,luddkiyendrwlud9xxfb0wkk4n05nh5l
62,21,Female,Romania,TRUE,Computer Science,Student,,Polytechnica University of Timișoara,0,0,Flexible working hours,Lack of human interaction,Working Environment,Flexible working time models,Amount of salary,Office,9/9/20 13:05,97nkwog9m6tak1or97g9o7439tooiapf
63,26,Male,Estonia,FALSE,,Employed,Retail,,0,0,Less money and time spent on traveling,No separation between work and home life,Amount of salary,Working Environment,Impact,Office,9/9/20 13:05,x9jgkypj8ktakruqlcw62wcbfx9jgkyp
64,23,Male,Romania,TRUE,Mechanical Engineering,Student,,Universitatea Politehnica,N/A,N/A,Work-life-balance,No separation between work and home life,Flexible working time models,Amount of salary,Working Environment,Both,9/9/20 13:07,g3479azd87o5srikk7s2ng3479a45fbg
65,23,Female,Estonia,FALSE,,Employed,Construction,,5,5,Work-life-balance,No separation between work and home life,Amount of salary,Impact,Flexible working time models,Both,9/9/20 13:18,wcobarlx6u8ate4jbwcobah0n0s95img
66,20,Male,Romania,FALSE,,Student,,Politehnica,0,0,Flexible working hours,Interruption at home,Possibility of remote working,Flexible working time models,"Additional services (Kindergarten, dogs at work)",Both,9/9/20 13:23,pltew4mpllzckhg7jeqrppltewgrh90z
67,25,Male,Estonia,TRUE,Civil Engineering,Employed,General contracting of buildings,,0,0,Work-life-balance,Lack of human interaction,Flexible working time models,Amount of salary,Working Environment,Office,9/9/20 13:37,nehz4c16md4tjqf64wip3anehzctq6u3
68,19,Female,Romania,TRUE,Information and Technology,Student,,Politehnica Timisoara,0,0,Comfortable working environment,Lack of human interaction,Flexible working time models,Amount of salary,Working Environment,Both,9/9/20 13:52,7m14z96lmjhsgwyxpmmxsqf7m14z96d0
69,30,Male,Netherlands,TRUE,Electrical Engineering,Employed,energy,,1,4,Less money and time spent on traveling,Lack of human interaction,Impact,Amount of salary,Reputation,Office,9/9/20 14:03,1f7jhaeu8lsx5i66tkihxd21f7bdyq5e
70,26,Female,Croatia,TRUE,Industrial Engineering,Employed,Automation and Process Simulation,,0,5,Comfortable working environment,Lack of human interaction,Amount of salary,Flexible working time models,Working Environment,Office,9/9/20 14:16,fll5xfsjxoc1fze6ifll5xs18lgqfc35
71,23,Female,Croatia,TRUE,Environmental Engineering,Student,,Zagreb,0,2,Flexible working hours,No separation between work and home life,Flexible working time models,"Additional services (Kindergarten, dogs at work)",Working Environment,Office,9/9/20 14:26,59g5fuarfj6rlp124lum859g5f08ozp7
72,32,Female,Croatia,TRUE,Civil Engineering,Employed,NGO,,1,5,Flexible working hours,No separation between work and home life,Amount of salary,Flexible working time models,Possibility of remote working,Home,9/9/20 14:45,jm9w27r82ryb4pdik6531ejm9w275fyj
73,19,Female,Romania,TRUE,Information and Technology,Student,,Universitatea Politehnica Timisoara,N/A,N/A,Comfortable working environment,Lack of human interaction,Flexible working time models,Amount of salary,"Additional services (Kindergarten, dogs at work)",Office,9/9/20 15:08,gu4ellbmetego4gb9egu4ell1oh29eq6
74,27,Male,Germany,TRUE,Electrical Engineering,Employed,Research,,0,N/A,Flexible working hours,Lack of human interaction,Working Environment,Impact,Flexible working time models,Office,9/9/20 15:19,0tpw18a5hr9fxr80tpw1sg1fbcil54pr
75,22,Male,Estonia,TRUE,Civil Engineering,Student,,Tallinn University of Technology,N/A,N/A,Comfortable working environment,Lack of human interaction,Working Environment,Flexible working time models,Amount of salary,Office,9/9/20 15:35,wjvnmcqqf3bcz354d7wjvnw01uedr0b1
76,22,Male,Estonia,TRUE,Industrial Engineering,Student,,Taltech,N/A,N/A,Flexible working hours,No separation between work and home life,Flexible working time models,Amount of salary,Impact,Office,9/9/20 16:14,jb347kf2f85nt3k9nbmi24ajb3476y73
77,28,Female,Malta,FALSE,,Employed,Telecommunications,,0,7,Comfortable working environment,Lack of human interaction,Working Environment,Amount of salary,Reputation,Home,9/9/20 16:40,u7hekmc75z9v0xd5b5u7heket95oyfhv
78,28,Female,Malta,FALSE,,Employed,Pharmaceutical,,0,2,Flexible working hours,Lack of human interaction,Possibility of remote working,Amount of salary,Working Environment,Both,9/9/20 16:56,h5myn2zzf7yd295s5cuh5myn2zg0vd2c
79,23,Female,Germany,FALSE,,Employed,Automotive,,1,5,Work-life-balance,Lack of human interaction,Flexible working time models,Possibility of remote working,Working Environment,Both,9/9/20 16:59,xsk2wwoi2h9zdwixskyrggm19xagmj2v
80,23,Male,Germany,TRUE,Industrial Engineering,Employed,Automotive,,1,4,Less money and time spent on traveling,No separation between work and home life,Working Environment,Flexible working time models,Amount of salary,Both,9/9/20 17:04,b3uifj9zp4gxu7b3uifrf8dlqmyn9n7m
81,19,Male,Malta,FALSE,,Student,,University of Malta,0,0,Less money and time spent on traveling,Lack of human interaction,Amount of salary,Impact,Working Environment,Office,9/9/20 17:16,sa1zufwi74cxydrbmlsa1zufi5pdjqqv
82,21,Male,Romania,TRUE,Software Engineering,Student,,Polytechnic University of Timisoara - Computer engineering,5,5,Flexible working hours,Lack of human interaction,Flexible working time models,Amount of salary,Possibility of remote working,Office,9/9/20 17:27,g5f6br01ox12l5xynweg5f6brv8qmgml
83,21,Male,Romania,TRUE,Computer Science,Employed,IT,,N/A,N/A,Flexible working hours,No separation between work and home life,Working Environment,Amount of salary,Flexible working time models,Office,9/9/20 17:54,hcvzztik1o7tzjuwxhcvzztikey00n54
84,20,Male,Romania,TRUE,Computer Science,Student,,Polytechnic University of Timisoara,5,0,Flexible working hours,No separation between work and home life,Amount of salary,Working Environment,Flexible working time models,Office,9/9/20 18:01,0ag8xyr6bqvjv0ag8xtm07hlw138q29z
85,23,Female,Germany,TRUE,Systems Engineering,Student,,University of Oxford,0,4,Less money and time spent on traveling,Lack of human interaction,Impact,Working Environment,Reputation,Both,9/9/20 18:34,07gk7m5jpd490h2121mjtpned2o21pof
86,25,Female,Malta,FALSE,,Employed,Social,,0,4,Flexible working hours,Lack of human interaction,Amount of salary,Impact,Flexible working time models,Both,9/9/20 18:18,ki5p5m762c1whdmvki5p5mujxxxmk0ao
87,22,Male,Germany,TRUE,Mechanical Engineering,Student,,Technical University of Munich,7,3,Less money and time spent on traveling,Bad technical conditions,Working Environment,Flexible working time models,Amount of salary,Both,9/9/20 18:44,qcg7eeszd4a3qc1zuqcg7luxqgmrycli
88,26,Male,Germany,FALSE,,Employed,Banking,,0,4,Work-life-balance,No separation between work and home life,Possibility of remote working,Working Environment,Amount of salary,Both,9/9/20 18:45,iygixlkd20jcaoiqiygi9bxvab15yx4n
89,22,Male,Germany,TRUE,Aerospace Engineering,Employed,Aerospace,,4,6,Less money and time spent on traveling,No separation between work and home life,Working Environment,Impact,Amount of salary,Office,9/9/20 18:46,f1od6mc4p441rdru2ff1od69b5gtonu4
90,23,Female,Germany,FALSE,,Student,,Technische Universität München,0,N/A,Flexible working hours,No separation between work and home life,Working Environment,Flexible working time models,Amount of salary,Office,9/9/20 18:47,rg5wydcjx5vp77zepfxrg5wydm0vllji
91,28,Male,Germany,TRUE,Other,Student,,TUM,2,2,Less money and time spent on traveling,Lack of human interaction,Amount of salary,Impact,Possibility of remote working,Both,9/9/20 18:49,a02czvyl65x7h95h0a02czv0vn1ap28c
92,23,Female,Croatia,FALSE,,Employed,Pharmaceutical,,0,5,Flexible working hours,Lack of human interaction,Working Environment,Flexible working time models,Possibility of remote working,Office,9/9/20 18:57,t7b3f2j5s5fj74ncod7lt7b3fwokvxp9
93,27,Male,Germany,FALSE,,Student,,Trier,N/A,N/A,Work-life-balance,No separation between work and home life,Working Environment,Amount of salary,Reputation,Office,9/9/20 18:58,gh71ps7fc7914nd02gh71ps3fdm8irz5
94,22,Female,Portugal,FALSE,,Student,,ISCTE,0,5,Flexible working hours,Lack of human interaction,Working Environment,Flexible working time models,Amount of salary,Office,9/9/20 18:58,u792pedh482q9slu792d5i9notm8lxyb
95,22,Male,Germany,TRUE,Mechanical Engineering,Student,,TU München,0,4,Flexible working hours,Lack of human interaction,Working Environment,Amount of salary,Flexible working time models,Office,9/9/20 19:00,n4c7jyfpyny6mampndcvty1n4c7jyfio
96,21,Male,Portugal,FALSE,,Self-employed,,,0,7,Comfortable working environment,Interruption at home,Working Environment,Amount of salary,Flexible working time models,Both,9/9/20 19:04,l2ti5j5i3u9o5zdzyl2tii5hlaho7fsq
97,26,Male,Germany,TRUE,Electrical Engineering,Student,,Trier University of Applied Sciences,0,5,Comfortable working environment,No separation between work and home life,Working Environment,Flexible working time models,Amount of salary,Office,9/9/20 19:12,67al2624onfptfz3ldc16dj9v67al262
98,26,Male,Germany,FALSE,,Student,,Ruprecht-Karls-Universität Heidelberg,1,1,Flexible working hours,Lack of human interaction,Flexible working time models,Amount of salary,Reputation,Office,9/9/20 19:14,2jit4era5luu7fz02jit4edo27cdec1q
99,23,Male,Malta,TRUE,Mechanical Engineering,Employed,Water Distribution - Leakage Control,,0,0,Flexible working hours,No separation between work and home life,Working Environment,Amount of salary,Impact,Office,9/9/20 19:16,wzfdbe46e5vt9gu2wzfdbr4hi3i7kcxt
100,26,Male,Germany,TRUE,Energy Engineering,Employed,Consultancy,,0,3,Less money and time spent on traveling,Lack of human interaction,Impact,Reputation,Amount of salary,Both,9/9/20 19:18,i4nfbpllhi70yowi4nfbiah4cv2k02hq
101,25,Female,Poland,FALSE,,Employed,Transport,,0,5,Less money and time spent on traveling,Lack of human interaction,Amount of salary,Working Environment,Flexible working time models,Office,9/9/20 19:24,0dt68xbdbstf0dt68c3b2o6gtmegjc0k
102,27,Female,Germany,TRUE,Computer Science,Employed,Healthcare,,0,5,Less money and time spent on traveling,No separation between work and home life,Flexible working time models,Amount of salary,"Additional services (Kindergarten, dogs at work)",Home,9/9/20 19:52,gqjlmlfdaqlkvp3egqj4bc8tsgpg76l7
103,26,Male,Hungary,TRUE,Architectural Engineering,Employed,Construction,,0,2,Less money and time spent on traveling,No separation between work and home life,Amount of salary,Working Environment,Impact,Office,9/9/20 20:05,ohnetj6omqiojk6nh6nohnetjuk8v63o
104,23,Female,Germany,FALSE,,Student,,TU Munich,0,0,Flexible working hours,No separation between work and home life,Amount of salary,Flexible working time models,Possibility of remote working,Both,9/9/20 20:18,tsoshohzkw49k6vahcxctsoshohzllf0
105,30,Male,United Kingdom,TRUE,Chemical Engineering,Employed,Manufacturing,,0,4,Flexible working hours,Lack of human interaction,Impact,Reputation,Flexible working time models,Both,9/9/20 20:36,efnwz66hz5o3r5sefyxzm0ggtnqz5emk
106,23,Male,Germany,FALSE,,Student,,TUM,0,1,Less money and time spent on traveling,Interruption at home,Flexible working time models,Amount of salary,Working Environment,Both,9/9/20 20:45,qvggnknwoohyftehwdqvggi5h0znidb0
107,21,Male,Portugal,FALSE,,Student,,Ipam,2,0,Comfortable working environment,No separation between work and home life,Amount of salary,Flexible working time models,Flexible working time models,Both,9/9/20 20:39,v5mqpdyh3jruq4r3v5mabosufox6qamu
108,25,Male,Germany,TRUE,Automotive Engineering,Student,,RWTH Aachen,0,5,Flexible working hours,Lack of human interaction,Flexible working time models,Amount of salary,Impact,Office,9/9/20 20:59,4mlpj8ugdzalu1ro9jieu34mlpjwf4ya
109,19,Male,Malta,FALSE,,Student,,University of Malta,N/A,2,Work-life-balance,No separation between work and home life,Amount of salary,Flexible working time models,Reputation,Both,9/9/20 21:11,s87bwc0t3lk9ookm5s87bwug63cmjltl
110,31,Female,Ireland,TRUE,Chemical Engineering,Employed,Pharmaceuticals,,0,0,Flexible working hours,No separation between work and home life,Working Environment,Flexible working time models,Amount of salary,Office,9/9/20 21:45,xhq21ml8izrpj2xhq2prgqbbe7ynu9g7
111,30,Male,Germany,TRUE,Chemical Engineering,Employed,Academia/Research,,1,1,I don't see any,Lack of human interaction,Impact,Reputation,Flexible working time models,Office,9/9/20 22:40,s9290kogmdcksmtr66bs9290gjeghp97
112,22,Male,Germany,TRUE,Automotive Engineering,Student,,Technische Universität München,0,2,Positive environmental impact,No separation between work and home life,Impact,Amount of salary,Working Environment,Office,9/10/20 5:59,sl6zv1arurwjno95sl6zv76udc9bditu
113,22,Female,Germany,TRUE,Aerospace Engineering,Student,,TU München,0,3,Work-life-balance,Lack of human interaction,Impact,Amount of salary,Flexible working time models,Office,9/10/20 7:26,uwywu9y91b6y32h5q5zsyuwywhdpt050
